Step,Time,Vehicles,J1_Phase,J2_Phase,J1_Queue,J2_Queue,Total_Queue,Network_Delay
2150,2150,24,2,-1,1,0,1,17.4
2160,2160,24,3,-1,2,0,2,21.333333333333332
2170,2170,20,0,-1,0,0,0,0.0
2180,2180,20,0,-1,0,0,0,0.0
2190,2190,20,0,-1,0,0,0,0.0
2200,2200,16,0,-1,0,0,0,0.0
2210,2210,15,1,-1,1,0,1,0.0
2220,2220,14,2,-1,1,0,1,6.333333333333333
2230,2230,14,2,-1,2,0,2,12.75
2240,2240,14,2,-1,2,0,2,22.75
2250,2250,14,3,-1,2,0,2,32.75
2260,2260,12,0,-1,1,0,1,0.6
2270,2270,11,0,-1,0,0,0,0.0
2280,2280,9,0,-1,0,0,0,0.0
2290,2290,7,0,-1,0,0,0,0.0
2300,2300,6,0,-1,0,0,0,1.0
2310,2310,6,2,-1,1,0,1,4.25
2320,2320,6,2,-1,1,0,1,7.6
2330,2330,27,2,-1,2,0,2,12.833333333333334
2340,2340,27,2,-1,2,0,2,17.428571428571427
2350,2350,26,0,-1,0,0,0,0.0
2360,2360,25,0,-1,0,0,0,0.0
2370,2370,22,0,-1,1,0,1,1.6
2380,2380,21,0,-1,1,0,1,3.6
2390,2390,19,0,-1,1,0,1,8.75
2400,2400,18,1,-1,2,0,2,14.25
2410,2410,18,2,-1,1,0,1,7.8
2420,2420,17,2,-1,1,0,1,11.8
2430,2430,17,2,-1,3,0,3,15.0
2440,2440,17,3,-1,2,1,3,7.714285714285714
2450,2450,14,0,-1,0,1,1,1.8
2460,2460,13,0,-1,1,1,2,5.2
2470,2470,10,0,-1,1,1,2,15.333333333333334
2480,2480,10,0,-1,1,0,1,6.75
2490,2490,9,1,-1,1,0,1,9.25
2500,2500,8,2,-1,0,0,0,0.0
2510,2510,8,2,-1,1,0,1,4.4
2520,2520,8,2,-1,1,0,1,9.333333333333334
2530,2530,8,2,-1,1,0,1,11.714285714285714
2540,2540,28,0,-1,1,1,2,1.4285714285714286
2550,2550,28,0,-1,1,1,2,3.75
2560,2560,25,0,-1,2,1,3,8.333333333333334
2570,2570,25,0,-1,2,0,2,8.142857142857142
2580,2580,24,0,-1,3,0,3,16.0
2590,2590,24,2,-1,3,0,3,11.5
2600,2600,24,2,-1,2,0,2,14.555555555555555
2610,2610,24,2,-1,2,0,2,21.22222222222222
2620,2620,24,2,-1,2,0,2,8.4
2630,2630,23,3,-1,2,0,2,12.3
2640,2640,22,0,-1,1,0,1,0.1
2650,2650,20,0,-1,0,0,0,0.8888888888888888
2660,2660,15,0,-1,0,0,0,0.0
2670,2670,12,0,-1,0,0,0,0.0
2680,2680,11,1,-1,0,0,0,0.5
2690,2690,10,2,-1,0,0,0,4.25
2700,2700,9,2,-1,0,0,0,12.75
2710,2710,9,2,-1,0,0,0,6.8
2720,2720,9,3,-1,1,0,1,9.666666666666666
2730,2730,8,0,-1,1,0,1,0.0
2740,2740,7,0,-1,0,0,0,0.0
2750,2750,27,0,-1,0,0,0,1.0
2760,2760,26,0,-1,0,0,0,4.0
2770,2770,26,0,-1,0,0,0,8.571428571428571
2780,2780,25,2,-1,2,0,2,16.714285714285715
2790,2790,25,2,-1,2,0,2,23.375
2800,2800,25,2,-1,2,0,2,5.222222222222222
2810,2810,25,2,-1,2,0,2,6.7
2820,2820,23,0,-1,1,0,1,0.4444444444444444
2830,2830,19,0,-1,1,0,1,1.5
2840,2840,18,0,-1,1,0,1,4.5
2850,2850,16,0,-1,1,0,1,12.8
2860,2860,16,0,-1,1,0,1,17.333333333333332
2870,2870,16,1,-1,3,0,3,20.714285714285715
2880,2880,16,2,-1,3,0,3,19.125
2890,2890,16,2,-1,2,0,2,3.4444444444444446
2900,2900,12,2,-1,2,0,2,9.0
2910,2910,11,3,-1,2,0,2,14.0
2920,2920,11,0,-1,0,0,0,3.4285714285714284
2930,2930,9,0,-1,1,0,1,1.3333333333333333
2940,2940,6,0,-1,1,0,1,4.5
2950,2950,4,0,-1,1,0,1,9.333333333333334
2960,2960,24,1,-1,1,0,1,19.0
2970,2970,22,2,-1,0,0,0,0.0
2980,2980,22,2,-1,0,0,0,6.0
2990,2990,22,2,-1,0,0,0,9.5
3000,3000,22,2,-1,0,0,0,14.5
3010,3010,21,0,-1,2,0,2,0.2
3020,3020,20,0,-1,1,0,1,0.6
3030,3030,20,0,-1,1,0,1,2.1666666666666665
3040,3040,19,0,-1,1,0,1,4.666666666666667
3050,3050,19,0,-1,1,0,1,8.0
3060,3060,19,2,-1,1,0,1,8.0
3070,3070,17,2,-1,1,0,1,1.2857142857142858
3080,3080,17,2,-1,1,1,2,4.125
3090,3090,16,2,-1,1,1,2,7.875
3100,3100,16,3,-1,2,1,3,12.222222222222221
3110,3110,15,0,-1,0,0,0,0.875
3120,3120,13,0,-1,0,0,0,2.125
3130,3130,12,0,-1,0,0,0,4.125
3140,3140,11,0,-1,0,0,0,8.625
3150,3150,11,1,-1,0,0,0,12.222222222222221
3160,3160,7,2,-1,0,0,0,0.0
3170,3170,26,2,-1,1,0,1,1.2
3180,3180,21,2,-1,1,0,1,16.0
3190,3190,21,3,-1,1,0,1,13.0
3200,3200,21,0,-1,0,0,0,3.0
3210,3210,20,0,-1,0,0,0,9.0
3220,3220,20,0,-1,0,0,0,14.25
3230,3230,20,0,-1,1,0,1,18.4
3240,3240,20,0,-1,1,0,1,23.166666666666668
3250,3250,20,2,-1,1,0,1,0.5714285714285714
3260,3260,20,2,-1,2,0,2,3.5
3270,3270,19,2,-1,4,0,4,9.375
3280,3280,17,2,-1,4,0,4,20.714285714285715
3290,3290,17,0,-1,2,0,2,13.875
